No,Identifier,Name,Rules,PrasaYati,Yathi,Full Name,Reference
1215,bhootilakamu,భూతిలకము,భభరసజజగ,,12,భూతిలకము ,200
1216,bhoodhara,భూధర,మమననభయయ,,"7,14",భూధర,మోడేకుర్తి
1217,bhoonutamu-valanaa,భూనుతము వలనా,ర-న-భ-భ-గా,,10,భూనుతము వలనా,200 మా.పట్వర్థన్
1218,bhoomadhaaree,భూమధారీ,య-య-గా,,No,"భూమధారీ, అనిర్భర",వాగ్వల్లభ దుఃఖభంజన
1219,bhoomisutaa,భూమిసుతా,మమమస,,7,"భూమిసుతా, స్వవిక్రాంతా ",ఛం.సార మా.పట్వర్థన్ (6)
1220,bhoorighaTakamu,భూరిఘటకము,మ-న-మ-గా,,7,భూరిఘటకము,వాగ్వల్లభ దుఃఖభంజన రణపింగళ
1221,bhooridhaamaa,భూరిధామా,రరగ,,No,భూరిధామా,వాగ్వల్లభ దుఃఖభంజన
1222,bhooriyadhu,భూరియధు,యభల,,No,"భూరియధు, భూరివసు",వాగ్వల్లభ దుఃఖభంజన
1223,bhooriSikhaa,భూరిశిఖా,ససమతవ,,7,భూరిశిఖా,వాగ్వల్లభ దుఃఖభంజన
1224,bhooriSObhaa,భూరిశోభా,మ-మ-న-న-త-త-గా,,"7,14",భూరిశోభా,వాగ్వల్లభ దుఃఖభంజన
1225,bhRMga,భృంగ,ననననననహ,,13,భృంగ,ఛం.సార
1226,bhaekaalOka@h,భేకాలోకః,భ-మ-మ-త-న-స-గా,,12,భేకాలోకః,వాగ్వల్లభ దుఃఖభంజన
1227,bhairava@h-veera,భైరవః వీర,రననవ,,7,భైరవః వీర ,"ఛందస్కలావతీ, కోచ. బ.వా "
1228,bhaishmee,భైష్మీ,తసరవ,,6,"భైష్మీ, భీష్మానన ",శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
1229,bhOgavilasitamu,భోగవిలసితము,భసజగ,,7,"భోగవిలసితము, కుప్యం వీరవిలసితోర్వి ","200  1.వాగ్వల్లభ 2 లక్షణ, అప్పక నాగ"
1230,bhOgaavaLi@h,భోగావళిః,తననయసగ,,11,భోగావళిః,వాగ్వల్లభ దుఃఖభంజన
1231,bhOgaavaLee,భోగావళీ,తభరసననజగ,,13,"భోగావళీ, భోగావళీ - 2",వాగ్వల్లభ దుఃఖభంజన
1232,bhOginee,భోగినీ,ననరయయ,,11,భోగినీ ,ఛందోనుశాసనం
1233,bhOgeeMdra,భోగీంద్ర,తరతభభర,,10,భోగీంద్ర ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
