No,Identifier,Name,Rules,PrasaYati,Yathi,Full Name,Reference
1,aMgana,అంగన,భభభభభమ,,"7,13",అంగన ,చాంద్ బీబీ కో.శ్రీ
2,aMgaruchi,అంగరుచి,భభభభగ,,5,అంగరుచి,"హేమఛంసా 2-196, జయకీర్తి 2-161మా.పట్వర్థన్"
3,aMchalavati,అంచలవతి,భజజభవ,,9,అంచలవతి,వాగ్వల్లభ దుఃఖభంజన
4,aMjanaadri,అంజనాద్రి,రసభసస,,8,అంజనాద్రి,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
5,aMtariksha,అంతరిక్ష,స-స-న-య-భ-లల,,10,అంతరిక్ష ,సఆంఋసం వగోకృ
6,aMtarbhramara,అంతర్భ్రమర,తరతరస,,9,అంతర్భ్రమర ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
7,aMtarvanitaa,అంతర్వనితా,మ-స-మ-గా,,7,అంతర్వనితా,వాగ్వల్లభ దుఃఖభంజన
8,aMtarvikaasa-vaasaka@h,అంతర్వికాస వాసకః,తరజర,,6,అంతర్వికాస వాసకః,వాగ్వల్లభ 
9,aMbara-1,అంబర 1,భభనసతహ,,10,అంబర 1,సఆంఋసం వగోకృ
10,aMbara-2,అంబర 2,భ-న-న-స-లల,,8,అంబర 2 ,మా.పట్వర్థన్
11,aMbuja,అంబుజ,భజససగ,,10,అంబుజ ,మా.పట్వర్థన్
12,aMbudaavaLee,అంబుదావళీ,సయసజగ,,7,"అంబుదావళీ, సుదంత ",వాగ్వల్లభ దుఃఖభంజన మా.పట్వర్థన్
13,aMburuhamu,అంబురుహము,భభభభరసవ,,13,"అంబురుహము, నందక భాసుర ","200 1. కవి కావ్యా.ఆనం. లక్షణ. అప్పక. ""వనమంజరి"" - నాగ. (వనవల్లరి, నాగరంజిత) 2. వృ.మౌ.చం. 3.నందకం హైచంశా  మా.పట్వర్థన్"
14,aMSumaali,అంశుమాలి,ససభనరభ,,10,అంశుమాలి ,సఆంఋసం వగోకృ
15,aka-hari,అక హరి,న-న-న-న-లల,,7,"అక హరి, అకు హరి, మణిగణము, నాగరాజ ",వాగ్వల్లభ /వృత్త మౌక్తిక చంద్రశేఖర పింగళ ప్రకాశ
16,akshaya,అక్షయ,భ-స-జ-స-త-లల,,10,అక్షయ,సఆంఋసం వగోకృ
17,akshayagati,అక్షయగతి,భ-న-న-న-త-భ-లల,,12,అక్షయగతి,సఆంఋసం వగోకృ
18,aksharaSree,అక్షరశ్రీ,భభరయనభ,,11,అక్షరశ్రీ ,సఆంఋసం వగోకృ
19,aksharaavalee,అక్షరావలీ,రసజగ,,6,"అక్షరావలీ, లాలినీ","మంమచం, రణపింగళ మా.పట్వర్థన్"
20,akshi-1,అక్షి 1,సజస,,No,అక్షి 1,మా.పట్వర్థన్
21,akshi-2,అక్షి 2,తజన,,No,అక్షి 2,సఆంఋసం వగోకృ
22,akhaMDamaMDanaM,అఖండమండనం,జరరజగ,,8,అఖండమండనం,వాగ్వల్లభ దుఃఖభంజన
23,akhani@h-Samana,అఖనిః శమన,నజవ,,No,"అఖనిః శమన, లలితగతి ","వాగ్వల్లభ 2 సునందినీ పరిణయము, బభ్రువాహన కో.శ్రీ మా.పట్వర్థన్ భ.నా.శా."
24,agarima,అగరిమ,న-న-న-లల,,5,"అగరిమ, వకుళమ్ 445",1.వా.వ  2. వృ.మౌ.చం  
25,agastyastuti,అగస్త్యస్తుతి,యసతతసర,,10,అగస్త్యస్తుతి ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
26,agra,అగ్ర,త-త-త-త-త-గా,,12,అగ్ర , కొక్కొండ 
27,achaTu,అచటు,ననల,,No,"అచటు, కుసుమతతి",1. వా. వ 2. వృ.మౌ.చం.
28,achala,అచల,జతభయసత,,12,అచల,ఛం.సార
29,achaladhRti,అచలధృతి,నననననల,,10,"అచలధృతి, అచలధృతి 237, గిరివరధృతి, గీత్యార్యా ",1. ఛం.సార 2.వృ.మౌ.చం. 3.వాగ్వల్లభ మా.పట్వర్థన్ ఛందోనుశాసనం
30,achalanayanaM,అచలనయనం,న-న-న-న-న-లల,,10,"అచలనయనం, దశముఖ హరం",1. వా.వ. 2. వృ.మౌ
31,achalapaMkti@h,అచలపంక్తిః,రనసగ,,6,అచలపంక్తిః ,వాగ్వల్లభ దుఃఖభంజన
32,achalamu,అచలము,న-న-లల,,No,"అచలము, కృతయుః, కృశయుః, జలదమ్ ",200 1. వా. వ 2. వృ.మౌ.చం. మా.పట్వర్థన్
33,achyuta-1,అచ్యుత 1,రససవ,,7,అచ్యుత 1 ,మా.పట్వర్థన్
34,achyuta-2,అచ్యుత 2,రనసవ,,7,"అచ్యుత 2, సాధనా ",మా.పట్వర్థన్ ఛందస్కలావతీ
35,ajapaa,అజపా,జరభజనసగ,,10,అజపా,సఆంఋసం వగోకృ
36,ajaya,అజయ,జమననననగ,,9,అజయ,సఆంఋసం వగోకృ
37,ajaya-24,అజయ-24,తజజజజజజజ,,16,అజయ-24,రణపింగళ
38,ajaraskaa,అజరస్కా,జయ,,No,అజరస్కా ,వాగ్వల్లభ దుఃఖభంజన
39,ajita-satpriya,అజిత సత్ప్రియ,ననభజగ,,7,అజిత సత్ప్రియ,మా పట్వర్ధన్
40,aj~naanaakRta,అజ్ఞానాకృత,యరసర,,8,అజ్ఞానాకృత,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
41,atichapalaa-chapalaa,అతిచపలా చపలా,నజజయననస,,"7,13",అతిచపలా చపలా ,మా.పట్వర్థన్
42,atijani,అతిజని,మ-భ-లల,,No,అతిజని,వాగ్వల్లభ దుఃఖభంజన
43,atibalaSree,అతిబలశ్రీ,భసభతజహ,,10,అతిబలశ్రీ ,సఆంఋసం వగోకృ
44,atiraMha,అతిరంహ,జజజరగ,,6,అతిరంహ,వాగ్వల్లభ దుఃఖభంజన
45,atilaekha,అతిలేఖ,సజజనయ,,6,"అతిలేఖ, రేఖ, హేలా, రేఖా",వృర 3.83 2.హేమఛంశా 2-252 3. ఛంకౌ 2-113 భ.నా.శా.
46,ativaasikaa,అతివాసికా,సయరస,,7,అతివాసికా,వాగ్వల్లభ 
47,ativinaya,అతివినయ,నననననస,,10,"అతివినయ, కవి వినుత 239, అతివినయ",1. కవి . 2. మోడేకుర్తి
48,atiSaayinee,అతిశాయినీ,స-స-త-భ-జ-గా,,10,అతిశాయినీ ,మా.పట్వర్థన్
49,atiSaayinee-2,అతిశాయినీ-2,స-స-జ-భ-జ-గా,,10,"అతిశాయినీ-2, అతిశాయినీ 740, చిత్రలేఖా 741, యాదవీ",1.వా.వ. 2. ఛం.సార(యతి 11) 3. శకద్రు (యతి 9)
50,atulapulakaM,అతులపులకం,నననననననస,,"11,19",అతులపులకం,వాగ్వల్లభ దుఃఖభంజన
51,adanijaa,అదనిజా,జజర,,No,అదనిజా,వాగ్వల్లభ దుఃఖభంజన
52,adhikaaree,అధికారీ,సభగ,,No,అధికారీ,వాగ్వల్లభ దుఃఖభంజన
53,adheerakareeraM,అధీరకరీరం,మననభసనజయ,,"10,19",అధీరకరీరం,వాగ్వల్లభ దుఃఖభంజన
54,adheeraa,అధీరా,భమగ,,No,అధీరా,వాగ్వల్లభ దుఃఖభంజన
55,anaMgalaekhaa,అనంగలేఖా,నసమమయయ,,12,అనంగలేఖా, హేమచంద్ర చంశా 2-312 స్వయంబూ 1-46
56,anaMta-Sree,అనంత శ్రీ,సతనసతహ,,10,అనంత శ్రీ ,సఆంఋసం వగోకృ
57,anaMtadaamaa,అనంతదామా,న-న-స-జ-గా,,10,అనంతదామా,వాగ్వల్లభ దుఃఖభంజన
58,anaMtapadma,అనంతపద్మ,జరరరరస,,11,అనంతపద్మ ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
59,anaMdanilaya,అనందనిలయ,తభర,,No,అనందనిలయ ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
60,anati,అనతి,భన,,No,అనతి,వాగ్వల్లభ దుఃఖభంజన
61,anala,అనల,రనమసతల,,9,అనల ,సఆంఋసం వగోకృ
62,anavadyaa,అనవద్యా,నభభమసవ,,10,అనవద్యా ,మా.పట్వర్థన్
63,anavadhiguNagaNam^,అనవధిగుణగణమ్,న-న-న-న-న-న-లల,,9,అనవధిగుణగణమ్,వృత్త మౌక్తిక చంద్రశేఖర
64,anaveeraa,అనవీరా,సభస,,No,అనవీరా,వాగ్వల్లభ దుఃఖభంజన
65,anaamayaM,అనామయం,జజజజజజజజ,,13,"అనామయం, ముక్తహరా, మాధవీ, చంద్రపదీ, మంజరీ, బామ, వామ, మాధవి,విష్ణు,సురేశ్వర,సుఖదా","1 వా.వ. 2 ఛం.సార 3. వృ.మౌ. 4 ఛందః సమీక్షా 5 ఛందః ప్రదీప, కేశవ్ ఛంద 10,19"
66,anaasaadi,అనాసాది,రయల,,No,అనాసాది,వాగ్వల్లభ దుఃఖభంజన
67,aniMdagurviMdu@h,అనిందగుర్విందుః,న-య-త-ర-గా,,8,"అనిందగుర్విందుః, గుర్విందుః, పూర్వేందుః",వాగ్వల్లభ దుఃఖభంజన
68,anibhRtaM,అనిభృతం,నత,,No,"అనిభృతం, అతికలి",వాగ్వల్లభ దుఃఖభంజన
69,anirbhara@h,అనిర్భరః,స-మ-గా,,No,అనిర్భరః,వాగ్వల్లభ దుఃఖభంజన
70,anila-Sree,అనిల శ్రీ,నసనతరల,,9,అనిల శ్రీ ,సఆంఋసం వగోకృ
71,anilOhaa,అనిలోహా,సభతయసగ,,10,అనిలోహా,వాగ్వల్లభ దుఃఖభంజన
72,anu,అను,నయల,,No,అను,వాగ్వల్లభ దుఃఖభంజన
73,anuchaahikaa,అనుచాహికా,నసజగ,,7,అనుచాహికా ,వాగ్వల్లభ దుఃఖభంజన
74,anuraaga-1,అనురాగ 1,నజజనతజ,,9,అనురాగ 1,ఛం.సార
75,anuraaga-2,అనురాగ 2,సజతరరగ,,9,అనురాగ 2,మా పట్వర్ధన్
76,anusaariNi,అనుసారిణి,సనయననసగ,,10,అనుసారిణి,ఛందోదర్పణ పీఠిక గిడుగు సీతాపతి
77,anRtavarma,అనృతవర్మ,సభహ,,No,"అనృతవర్మ, నృతవర్మ",వాగ్వల్లభ దుఃఖభంజన
78,apayOdhaa,అపయోధా,సరమగ,,7,"అపయోధా, నీరోహా ",వాగ్వల్లభ దుఃఖభంజన
79,aparaajitamu,అపరాజితము,ననరసవ,,9,"అపరాజితము, అపరాజితా",200 1. వా.వ. 2.  ఛం.సా కొక్కొండ మా.పట్వర్థన్
80,apavaaha,అపవాహ,మ-న-న-న-న-న-న-స-గా,,"10,16,22","అపవాహ, వరాహ, వరాహము","ల.సా.సం.చి.పె. నాగ. అప్పక. (యతి 10,16) , 200 1. వాగ్వల్లభ 2. ఛం.కౌ(యతి 10,15,19) 3.లక్షణ. నాగ. ( యతి 9,15,21) 4. శ.క.ద్రు .రణపింగళ మా పట్వర్ధన్"
81,apreetaa,అప్రీతా,న-మ-లల,,No,"అప్రీతా, ప్రీతా, అతిప్రీతా, అలిప్రీతా",వాగ్వల్లభ దుఃఖభంజన
82,abhikhyaa,అభిఖ్యా,సమ,,No,అభిఖ్యా ,వాగ్వల్లభ దుఃఖభంజన
83,abhidaatree,అభిదాత్రీ,సససజరగ,,10,అభిదాత్రీ,వాగ్వల్లభ దుఃఖభంజన
84,abhinavalavata,అభినవలవత,నసమత,,8,అభినవలవత,మా.పట్వర్థన్
85,abhiraamaa,అభిరామా,తజయ,,No,అభిరామా,మా.పట్వర్థన్
86,abhihataa,అభిహతా,తననవ,,7,"అభిహతా, ముఖచపలా ",భ.నా.శా. మా.పట్వర్థన్
87,abheekaM-lOla,అభీకం లోల,యయగ,,No,అభీకం లోల,1.వా.వ. 2. లక్షణ . అప్పక .
88,abheeradRshTa,అభీరదృష్ట,జరతరజగ,,11,అభీరదృష్ట,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
89,abhyuditaa,అభ్యుదితా,నభభభగ,,9,అభ్యుదితా ,మా.పట్వర్థన్
90,abhra,అభ్ర,రనజనరజ,,10,అభ్ర ,సఆంఋసం వగోకృ
91,abhra-bhramaNaM,అభ్ర భ్రమణం,తనమసననననగ,,13,అభ్ర భ్రమణం,వాగ్వల్లభ దుఃఖభంజన
92,abhraka,అభ్రక,తభజజగ,,9,అభ్రక ,ఛందోనుశాసనం  మా.పట్వర్థన్
93,amaMdapaada@h,అమందపాదః,భ-స-జ-గా,,7,అమందపాదః ,వాగ్వల్లభ 
94,amanaa,అమనా,స-స-లల,,No,అమనా,వాగ్వల్లభ దుఃఖభంజన
95,amaraMdi,అమరంది,తభహ,,No,అమరంది,వాగ్వల్లభ దుఃఖభంజన
96,amarachamaree-maadhvee,అమరచమరీ మాధ్వీ,నననననననవ,,"10,16",అమరచమరీ మాధ్వీ,వాగ్వల్లభ మా పట్వర్ధన్
97,amalakamalaruchi,అమలకమలరుచి,ననసనన,,9,అమలకమలరుచి ,మా.పట్వర్థన్
98,amaanika,అమానిక,జరహ,,No,అమానిక,వాగ్వల్లభ దుఃఖభంజన
99,amaaleenam^,అమాలీనమ్,య-య-మ-గా,,7,"అమాలీనమ్, మాలతీమాల",వాగ్వల్లభ రణపింగళ
100,amuvilaasa,అమువిలాస,నతనవ,,7,"అమువిలాస, అంశువిలాస","వృరక జయదామన్, రణపింగళ"
101,amRta-gati,అమృత గతి,నజనగ,,6,"అమృత గతి, అమృతగతిః, త్వరితగతిః, మృగలతికా 162, త్వరితగతి 163, అమృతగతి",మోడేకుర్తి 1. వా.వ. 2.  ఛం.సా 3.వృ.మౌ.చాం. మా.పట్వర్థన్
102,amOghamaalika-1,అమోఘమాలిక 1,జ-ర-మ-గా,,7,అమోఘమాలిక 1,200
103,amOghamaalika-2,అమోఘమాలిక 2,జ-ర-య-గా,,7,అమోఘమాలిక 2,రణపింగళ
104,amnaayasookti,అమ్నాయసూక్తి,తతరజరవ,,11,అమ్నాయసూక్తి,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
105,ammaethee,అమ్మేథీ,మరల,,No,అమ్మేథీ,వాగ్వల్లభ దుఃఖభంజన
106,ayati,అయతి,యనల,,No,"అయతి, అహతి",వాగ్వల్లభ దుఃఖభంజన
107,ayanapataaka,అయనపతాక,మనమ,,No,అయనపతాక,వాగ్వల్లభ దుఃఖభంజన
108,ayamaanaM,అయమానం,సససససససగ,,12,"అయమానం, హరితకీ",వాగ్వల్లభ రణపింగళ
109,ayamitaM,అయమితం,నభ,,No,అయమితం,వాగ్వల్లభ దుఃఖభంజన
110,araviMda,అరవింద,నజజభర,,10,"అరవింద, కలభాషిణీ ",ఛందోనుశాసనం
111,araviMda-2,అరవింద 2,ససససససససల,,13,"అరవింద 2, సుధారవిందో, మాననీ అరవిందముఖీ ",ఛం.సార 2. ఛందః సమీక్షా కేశవ్ రణపింగళ
112,arasaata,అరసాత,భభభభభభభర,,13,"అరసాత, అలసా మకరంద 1","ఛం.సార, ఛందః సమీక్షా కేశవ్ ఛంద, ఛంప్ర. (13)"
113,araaLi,అరాళి,జజవ,,No,అరాళి,వాగ్వల్లభ దుఃఖభంజన
114,ari,అరి,భనవ,,No,"అరి, అమరనదీ, సురనదీ, నదీ",వాగ్వల్లభ దుఃఖభంజన మా.పట్వర్థన్ భ.నా.శా.
115,aridamana,అరిదమన,ససతనననననవ,,"9,19","అరిదమన, అరిదళన",రణపింగళ
116,arilaa,అరిలా,సభభభ,,7,అరిలా,రణపింగళ
117,aruNaSree,అరుణశ్రీ,తసభనతగ,,9,అరుణశ్రీ,సఆంఋసం వగోకృ
118,arkamareechi,అర్కమరీచి,నజభభభభజర,,13,అర్కమరీచి ,మా.పట్వర్థన్
119,arkaSaeshaa,అర్కశేషా,ర-జ-ర-జ-గా,,8,అర్కశేషా,వాగ్వల్లభ దుఃఖభంజన
120,archanaa,అర్చనా,ర-భ-త-గా,,8,అర్చనా ,ఛందస్కలావతీ
121,archishmatae,అర్చిష్మతే,తభవ,,No,"అర్చిష్మతే, అర్చిష్మతి ",శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
122,arjitaphalikaa,అర్జితఫలికా,భసరస,,7,అర్జితఫలికా,వాగ్వల్లభ దుః 
123,arNachChaTa,అర్ణచ్ఛట,రయసనజహ,,9,అర్ణచ్ఛట ,సఆంఋసం వగోకృ
124,arthaSikhaa,అర్థశిఖా,భనజవ,,8,అర్థశిఖా,వాగ్వల్లభ 
125,arthaaM,అర్థాం,తతతతతత,,11,"అర్థాం, అర్థాంద్ధాం, తరాలాపి ఛేల",వాగ్వల్లభ రణపింగళ
126,arditaM,అర్దితం,భభభభభభనయ,,"10,19","అర్దితం, నర్దితం",వాగ్వల్లభ  
127,arditapaadaM,అర్దితపాదం,రనజయ,,10,అర్దితపాదం,మోడేకుర్తి లక్షణ శిరోమణీ
128,ardhakalaa-Saapa,అర్ధకలా శాప,ససస,,No,"అర్ధకలా శాప, సౌమ్యమతి ",1. వాగ్వల్లభ 2. మోడేకుర్తి సునందినీ పరిణయము కో.శ్రీ మా.పట్వర్థన్
129,ardhadaatrae,అర్ధదాత్రే,మరర,,No,అర్ధదాత్రే ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
130,arpitamadanaa,అర్పితమదనా,భసనయ,,7,"అర్పితమదనా, మదనారి 459 ",1. వాగ్వల్లభ 2. ఛం.సార
131,arbhakamaalaa,అర్భకమాలా,భతనతనమసగ,,13,అర్భకమాలా,వాగ్వల్లభ 
132,aryama,అర్యమ,ర-జ-భ-జ-య-లల,,9,అర్యమ,సఆంఋసం వగోకృ
133,alakaaLikaa,అలకాళికా,తభరసవ,,7,"అలకాళికా, అలికాళకా",వాగ్వల్లభ దుఃఖభంజన
134,alasagati,అలసగతి,నసనభయ,,10,అలసగతి ,200 కొక్కొండ
135,alaalaapi,అలాలాపి,సయల,,No,అలాలాపి,వాగ్వల్లభ దుఃఖభంజన
136,alOlaa,అలోలా,మ-స-మ-భ-గా,,7,అలోలా,మా.పట్వర్థన్
137,avaMdhyOpachaara@h,అవంధ్యోపచారః,యయయయయయవ,,13,అవంధ్యోపచారః,వాగ్వల్లభ దుఃఖభంజన
138,aviraLaratikaa,అవిరళరతికా,భనజర,,8,అవిరళరతికా,వాగ్వల్లభ 
139,aSuga,అశుగ,సనజవ,,8,అశుగ,సునందినీ పరిణయము కో.శ్రీ
140,aSOkakusuma-maMjari,అశోకకుసుమ మంజరి,జరజరజరజగ,,12,అశోకకుసుమ మంజరి ,రూపగోస్వామి (కావ్యమాల నుండి)
141,aSOkapushpakaM,అశోకపుష్పకం,ననరజగ,,8,"అశోకపుష్పకం, అశోకం",వాగ్వల్లభ దుఃఖభంజన
142,aSOkalOka@h,అశోకలోకః,మమమమతరమ,,14,అశోకలోకః,వాగ్వల్లభ దుఃఖభంజన
143,aSOkaa-gataviSOkaa,అశోకా గతవిశోకా,న-స-న-గా,,7,అశోకా గతవిశోకా ,మా.పట్వర్థన్ భ.నా.శా.
144,aSOkaanOkahaM,అశోకానోకహం,మ-భ-న-భ-న-ర-త-త-గా,,"10,16",అశోకానోకహం,వాగ్వల్లభ దుఃఖభంజన
145,aSva-gati@h,అశ్వ గతిః,భభభభభస,,13,"అశ్వ గతిః, తీవ్ర అశ్వగతి 412, అశ్వగతిః 413 ",1. వా.వ 2.ఛం.సార (యతి 11) 3.శ.క.ద్రు. ఛంప్ర. (10)
146,aSvagati-neela,అశ్వగతి నీల,భభభభభగ,,10,"అశ్వగతి నీల, విశ్వగతి, అశ్వగతిః, ఖగతిః, విశేషికా, పద్మముఖీ, మనహరణ,అశ్వాక్రాంత, సంగత","200 1.ఛం.సార 2.శ.క.ద్రు. 3. వాగ్వల్లభ కేశవ్ కొక్కొండ, ఛందః ప్రదీప పింగళప్రకాశ్"
147,aSvalalita,అశ్వలలిత,నజభజభజభగ,,13,అశ్వలలిత ,భ.నా.శా.
148,aSvalalita-1,అశ్వలలిత 1,నజభజభజభవ,,13,"అశ్వలలిత 1, అద్రితనయా 175, అశ్వలలితా",200 1.వా.వ. 2.ఛం.సా. రణపింగళ
149,aSvalalita-2,అశ్వలలిత 2,నజభజభజజవ,,12,అశ్వలలిత 2,హేమచంద్ర చందోనుశాసనం జయదామన్ 2-358 క్రింది వ్యాఖ్య
150,ashTaka,అష్టక,భతస,,No,"అష్టక, అష్టకకుభ్య్వాప్త ",శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
151,ashTamoorti,అష్టమూర్తి,మనతసరభజయ,,"9,17",అష్టమూర్తి ,200
152,ashThaSriyaa,అష్ఠశ్రియా,తమస,,No,"అష్ఠశ్రియా, అష్ఠశ్రేయా ",శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
153,asaMbaMdhaa,అసంబంధా,మతనసగ,,6,అసంబంధా ,మంమచం 18-4
154,asaMbaadha,అసంబాధ,మ-త-న-స-గా,,12,అసంబాధ ,200 వాగ్వల్లభ దుఃఖభంజన HCS 2.230 Y 6 భ.నా.శా.
155,asitadhaaraa,అసితధారా,సనసగ,,7,అసితధారా,రణపింగళ
156,asitadhaaraa-2,అసితధారా 2,ననసగ,,7,"అసితధారా 2, తనిమా, సుజన కలిత",వాగ్వల్లభ దుఃఖభంజన
157,asudhaaraa,అసుధారా,జరయయ,,7,"అసుధారా, అస్రధారా",వాగ్వల్లభ 
158,ahari,అహరి,నసల,,No,"అహరి, కరహంతృ, కరహంచి, కరభీర",.1. వా.వ. 2. వృ.మౌ.చం.. మా.పట్వర్ధన్
159,ahi,అహి,భభభభభభమ,,13,అహి,ఛం.సార  ఛంప్ర. రణపింగళ
160,ahiMsaa,అహింసా,రయగ,,No,అహింసా,వాగ్వల్లభ దుఃఖభంజన
161,ahidhRti,అహిధృతి,ననభజవ,,8,అహిధృతి ,వృత్తమౌక్తిక
162,ahiLaa,అహిళా,తసజగ,,7,అహిళా ,వాగ్వల్లభ దుఃఖభంజన
163,aaMjanaeya,ఆంజనేయ,రసజతస,,9,ఆంజనేయ,శ్రీ వేంకటేశాయ సహస్రనామ సహస్రఛందమాల - శ్రీతోపెల్ల బాలసుబ్రహ్మణ్య శర్మ & వేగరాజు శ్రీరామ్
164,aaMdOLika,ఆందోళిక,తతరగ,,6,ఆందోళిక,మోడేకుర్తి
165,aakatanu,ఆకతను,జ-త-లల,,No,ఆకతను,వాగ్వల్లభ దుఃఖభంజన
166,aakali,ఆకలి,న-ర-లల,,No,ఆకలి,వాగ్వల్లభ దుఃఖభంజన
167,aakaekaraM,ఆకేకరం,తనస,,No,ఆకేకరం,వాగ్వల్లభ దుఃఖభంజన
168,aakhaeTa,ఆఖేట,సససభనతత,,13,ఆఖేట ,సీమంతినీ కో.శ్రీ  
169,aakhaeTaM,ఆఖేటం,ర-జ-లల,,No,ఆఖేటం,వాగ్వల్లభ దుఃఖభంజన
170,aadiSaesha,ఆదిశేష,రభసజనహ,,9,ఆదిశేష,సఆంఋసం వగోకృ
171,aadhidaivee,ఆధిదైవీ,యమయయ,,7,ఆధిదైవీ,వాగ్వల్లభ 
172,aanaMda,ఆనంద,సతయభనననయ,,"11,19",ఆనంద,లక్షణ శిరోమణి
173,aanaMdakaMda,ఆనందకంద,త-ర-మ-జ-గా,,8,"ఆనందకంద, వైశాఖ ",మా పట్వర్ధన్
174,aanaMdaSabda,ఆనందశబ్ద,తతనరగ,,6,ఆనందశబ్ద,మా.పట్వర్థన్
175,aanataa,ఆనతా,మనరరగ,,9,ఆనతా,వాగ్వల్లభ దుఃఖభంజన
176,aanaddhaM,ఆనద్ధం,రనసతమ,,11,ఆనద్ధం,వాగ్వల్లభ దుఃఖభంజన
177,aananamoolaM,ఆననమూలం,భతయసగ,,10,ఆననమూలం,వాగ్వల్లభ దుఃఖభంజన
178,aapeeDa,ఆపీడ,భననసమనననవ,,15,ఆపీడ,హేమచంద్ర 2-378
179,aabhaara,ఆభార,తతతతతతతత,,13,ఆభార,ఛం.సార మా పట్వర్ధన్ ఛందః సమీక్ష
180,aabhaasamaanaM,ఆభాసమానం,య-య-య-య-త-త-త-త-గా,,"13,22",ఆభాసమానం,వాగ్వల్లభ దుఃఖభంజన
181,aarabhaTee,ఆరభటీ,భభనజయగ,,11,ఆరభటీ,వాగ్వల్లభ 
182,aaraadhinee,ఆరాధినీ,త-మ-మ-గా,,7,ఆరాధినీ,వాగ్వల్లభ దుఃఖభంజన
183,aarti,ఆర్తి,యన,,No,ఆర్తి,వాగ్వల్లభ దుఃఖభంజన
184,aardhravari,ఆర్ధ్రవరి,రజ,,No,ఆర్ధ్రవరి,వాగ్వల్లభ దుఃఖభంజన
185,aalOlaa,ఆలోలా,మ-స-మ-భ-గా,,8,"ఆలోలా, లోలా 589",1. వాగ్వల్లభ 2. ఛం.సార మా.పట్వర్థన్
186,aavODhaa,ఆవోఢా,మర,,No,ఆవోఢా ,వాగ్వల్లభ దుఃఖభంజన
187,aaSaapaada@h,ఆశాపాదః,మభసవ,,5,ఆశాపాదః ,వాగ్వల్లభ మా.పట్వర్థన్
188,iMdumukhi,ఇందుముఖి,భతతతస,,9,ఇందుముఖి,మా పట్వర్ధన్
189,iMdumukhee-2,ఇందుముఖీ 2,నజరజభగ,,10,"ఇందుముఖీ 2, చింతామణి",ఛందోనుశాసనం
190,iMdumukhee-3,ఇందుముఖీ 3,తనభగ,,6,"ఇందుముఖీ 3, చంద్రముఖీ",రణపింగళ
191,iMdra,ఇంద్ర,జజయగ,,6,"ఇంద్ర, తాంద్రీ ",వాగ్వల్లభ దుఃఖభంజన
192,iMdra-vimaanaM,ఇంద్ర విమానం,భ-త-న-మ-భ-న-న-గా,,13,ఇంద్ర విమానం,వాగ్వల్లభ దుఃఖభంజన
193,iMdraphalaa,ఇంద్రఫలా,భ-మ-గా,,No,"ఇంద్రఫలా, ఇంద్రబలా",వాగ్వల్లభ దుఃఖభంజన
194,iMdravaMSa-1,ఇంద్రవంశము,తతజర,,8,"ఇంద్రవంశము, వీరాసికా, ఇంద్రవంశా",200 1. కవి కావ్యా. అనం. లక్షణ.  అప్పక. నాగ 2. వా.వ మా.పట్వర్థన్
195,iMdravajra,ఇంద్రవజ్ర,త-త-జ-గా,,8,ఇంద్రవజ్ర ,200 మా.పట్వర్థన్ భ.నా.శా.
